use_dt,bus_route_id,bus_route_no,bus_route_nm,stnd_bsst_id,bsst_ars_no,bus_sta_id,bus_sta_nm,ride_pasgr_num,alight_pasgr_num,work_dt,work_dttm
"20190901","41110033","4419","4419번(송파차고지~압구정역)","122000049","23149","9034650","현대아파트","174","45","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","219000385","36682","9034769","안산공원","2","11","20190904",""
"20190901","41110042","740","740번(덕은동~삼성역)","121000058","22134","0073686","교대역3","126","38","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","218000319","35626","9034766","행신초등학교(중)","9","10","20190904",""
"20190901","41110048","5535","5535번(하안동~노량진)","119000029","20122","8300554","노들역","0","31","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","218000637","35007","9013634","소만마을","9","4","20190904",""
"20190901","41110086","7025","7025번(은평차고지~종로)","111000291","12381","9034851","녹번역","47","290","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","218000636","35008","9013633","소만마을","3","6","20190904",""
"20190901","41110088","441","441번(월암공영차고지~신사역)","220000017","37503","0009076","안골","5","11","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","112000013","13013","9006482","연세대앞","30","3","20190904",""
"20190901","41110093","9711A","9711A번(킨텍스제2전시장~양재동)","219000673","36153","8502290","킨텍스","0","9","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","112000012","13012","9006481","연세대앞","5","22","20190904",""
"20190901","41110102","9701","9701번(가좌동~서울역)","219000278","36343","9005846","송산3통","0","5","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","112000006","13006","9006475","모래내시장.가좌역","3","3","20190904",""
"20190901","41110113","9403","9403번(성남분당~을지로5가)","206000331","47155","9005383","오리초등학교","8","0","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","111000007","12007","9006469","디지털미디어시티역","3","20","20190904",""
"20190901","41110216","108","108번(양주 덕정~종로5가)","235001197","68257","8501841","삼숭교","0","6","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","101000020","02113","9005144","서대문경찰서.농협은행.유관순활동터","6","2","20190904",""
"20190901","11110006","105","105번(상계동~서울역)","105000485","06028","0007769","신설동역","50","167","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","219000193","36281","9004358","대화역","24","11","20190904",""
"20190901","11110012","141","141번(도봉산~염곡동)","108000012","09012","8000547","미아사거리역","302","519","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","219000366","36601","9004357","대화역","8","24","20190904",""
"20190901","11110014","143","143번(정릉~개포동)","100000123","01219","0072259","통신대(이화장)","40","148","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","229000847","63674","9000527","책향기마을","11","0","20190904",""
"20190901","11110016","145","145번(번동~강남역)","108000090","09178","8003169","강북보건소","84","1","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","229000858","63675","9000452","책향기마을","0","26","20190904",""
"20190901","11110019","150","150번(도봉산~석수역)","100000102","01198","0008952","원남동","57","48","20190904",""
"20190901","91000034","9714","9714번(교하운정~서울역)","100000034","01129","9000384","광화문광화문빌딩","20","19","20190904",""
"20190901","11110022","160","160번(도봉산~온수동)","100000003","01003","0007197","명륜3가.성대입구","238","77","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000003","01003","0007197","명륜3가.성대입구","119","151","20190904",""
"20190901","11110024","162","162번(정릉~여의도)","118000045","19130","0074992","KBS","57","44","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000057","02156","0008839","을지로입구.로얄호텔","102","59","20190904",""
"20190901","11110032","262","262번(중랑공영차고지~여의도)","102000136","03230","0008656","남영역","148","141","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000060","02159","0008864","을지로2가.파인에빈뉴","117","39","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000173","03267","0008878","서빙고역교차로","17","13","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000061","02160","0008881","을지로3가","50","160","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000062","02161","0008890","을지로3가","56","33","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000063","02162","0008935","을지로4가","21","103","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000102","01198","0008952","원남동","51","107","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000067","02166","0008984","을지로5가.중부시장","17","31","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000070","02169","0009038","을지로6가.국립중앙의료원","40","44","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000273","11374","0011084","서울시립북서울미술관","44","1","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000002","08002","0012869","월곡뉴타운","215","69","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000279","11380","0070555","목련아파트상가","220","47","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000280","11381","0070556","중계목화아파트4단지","164","17","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000353","11454","0070561","하계우성아파트","400","40","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000351","11452","0070562","하계극동아파트","167","56","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000238","11339","0070563","월계헬스케어센터","201","97","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000239","11340","0070585","월계헬스케어센터","104","201","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000352","11453","0070586","하계시영아파트","39","295","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000341","11442","0070592","하계현대아파트","23","119","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000257","11358","0070593","롯데마트","34","119","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000009","08009","0071196","삼선교.한성대학교","95","212","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000002","01002","0071198","창경궁.서울대학교병원","30","65","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000010","08010","0071205","삼선교.한성대학교.조소앙활동터","216","98","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000265","11366","0071430","중계역","1","31","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000272","11373","0071499","중계역","40","3","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000286","11387","0071598","노원평생학습관","27","2","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000275","11376","0071599","중계역2번출구","147","16","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000277","11378","0071600","중계3단지목련아파트","44","18","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000337","11438","0071601","노원경찰서","200","48","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000335","11436","0071602","하계1동주민센터","188","49","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000333","11434","0071603","골마을근린공원","225","46","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000325","11426","0071604","하계역","406","191","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000211","11311","0071605","인덕대학","151","127","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000210","11310","0071606","월계주공108동앞롯데캐슬루나아파트","262","115","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","108000098","09186","0071607","오현초등학교","260","169","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","108000099","09187","0071608","북서울꿈의숲","179","52","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","108000100","09188","0071609","송중동한일유엔아이","38","105","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","108000101","09189","0071610","창문여고앞","150","194","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","108000102","09190","0071611","숭곡초등학교입구","90","224","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000001","08001","0071612","월곡뉴타운","84","255","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000003","08003","0071613","길음뉴타운","113","262","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000004","08004","0071614","길음뉴타운","230","107","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000011","08101","0071616","숭곡초교입구","118","103","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000012","08102","0071617","창문여고","211","169","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000013","08103","0071618","동방고개","26","58","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000014","08104","0071619","장위동그린빌아파트","30","124","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000015","08105","0071620","북서울꿈의숲","161","197","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000016","08106","0071621","장월초등학교","182","205","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000236","11337","0071622","롯데캐슬루나아파트","163","140","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000237","11338","0071623","인덕대앞","150","115","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000324","11425","0071624","하계미성아파트.을지병원","249","291","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000328","11429","0071625","한성여객종점","2","123","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000334","11435","0071626","서울온천","34","215","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000336","11437","0071627","노원경찰서.혜성여고","31","174","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000276","11377","0071628","상명초등학교","4","49","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000274","11375","0071629","중계건영2차아파트","2","70","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000343","11444","0071630","하계한신청구아파트","0","9","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000005","08005","0072011","미아리고개.미아리예술극장","83","166","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000007","08007","0072012","돈암사거리.성신여대입구","63","338","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000008","08008","0072027","돈암사거리.성신여대입구","410","106","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","107000006","08006","0072028","미아리고개.미아리예술극장","91","80","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000151","01247","0072250","광장시장","42","83","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000069","02168","0072254","을지로5가.훈련원종합체육관","23","2","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000123","01219","0072259","통신대(이화장)","63","43","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000124","01220","0072260","혜화역.마로니에공원","193","68","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000133","01229","0072261","혜화역.동성중고(장면총리가옥)","238","40","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000102","02206","0072394","퇴계로6가","42","21","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000114","02219","0072410","남대문시장앞.이회영활동터","45","80","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000043","02142","0072411","롯데영프라자","145","165","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000059","02158","0072605","을지로2가.기업은행본점.서울노동청","66","131","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000060","03154","0073677","용산구청.크라운호텔","74","14","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000061","03155","0073690","한강중학교","44","191","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000059","03153","0073691","용산구청.크라운호텔","89","125","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000005","01005","0074700","혜화동로터리.여운형활동터","39","202","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000175","03269","0074899","한강중학교","48","3","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000176","03270","0074900","금호베스트빌앞","14","1","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000008","02008","0079041","숭례문","54","75","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000387","11489","7000199","한성여객종점","0","3","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000327","11428","8000658","한성여객종점","20","3","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000063","03157","8001484","서빙고역1번출구","70","102","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000354","11455","8002342","하계장미아파트","27","346","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000243","03336","8003001","서빙고초등학교","2","9","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","108000373","09312","8501161","꿈의숲주차장입구","100","64","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","110000695","11433","8502050","대진고등학교","9","202","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000032","02127","9000235","북창동.남대문시장","55","40","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000121","03215","9000254","이촌동두산위브트레지움.한강대우아파트","288","107","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000122","03216","9000255","이촌1동충신교회앞","71","179","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000123","03217","9000256","이촌동한가람아파트.이촌역","199","155","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000124","03218","9000257","이촌동한강맨션.이촌역","199","198","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000125","03219","9000258","신용산초등학교","159","112","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000126","03220","9000259","신용산초등학교","80","147","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000127","03221","9000260","이촌동강촌아파트","249","83","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000128","03222","9000261","이촌동점보아파트","55","206","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000129","03223","9000262","이촌동현대아파트","237","53","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000130","03224","9000263","금강병원.반도아파트","52","203","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000131","03225","9000264","서빙고신동아아파트","952","149","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000109","01205","9000413","종로5가.효제초등학교","66","17","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000064","02163","9000537","을지로4가.베스트웨스턴국도","27","22","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000041","02140","9000556","롯데백화점","305","159","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000108","01204","9000558","종로5가.효제동.김상옥의거터","14","9","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000071","02170","9002069","광희동","49","40","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000068","02167","9003018","방산시장.훈련원종합체육관","14","11","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","100000116","01212","9034217","종로5가","67","25","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000004","02004","9034418","서울역버스환승센터","221","123","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000012","03012","9034947","갈월동","64","40","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000011","03011","9034948","갈월동","45","59","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000010","03010","9034949","숙대입구역","155","63","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000009","03009","9034950","숙대입구역","85","282","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000008","03008","9034951","삼각지역","115","45","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000007","03007","9034952","삼각지역","50","114","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000006","03006","9034953","KT용산지사","62","46","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000005","03005","9034954","KT용산지사","28","97","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000003","03003","9034956","신용산역","86","375","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000002","03002","9034957","한강대교북단.LG유플러스","285","62","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000001","03001","9034958","한강대교북단.LG유플러스","76","415","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000132","03226","9035283","서빙고신동아아파트","140","547","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000120","03214","9035323","이촌동동부센트레빌","25","162","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000231","03325","9036005","서빙고역1번출구","92","33","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","102000004","03004","9036053","신용산역","383","99","20190904",""
"20190901","11110001","100","100번(하계동~용산구청)","101000007","02007","9036837","서울역버스환승센터.강우규의거터","104","170","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000117","10202","0007645","쌍문동우이빌라","55","6","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000128","10213","0007877","쌍문동현대.한양아파트","43","241","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000041","10126","0007899","쌍문역","406","215","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000063","08153","0007917","종암동주민센터","205","235","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000036","10119","0007984","함석헌기념관.정의여중고","12","85","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000131","10216","0007989","도봉구보건소앞","192","94","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000132","10217","0007996","도봉구보건소앞","46","317","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","101000036","02133","0008722","서소문","93","29","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","100000365","01037","0009100","동대문(흥인지문)","103","296","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000115","10200","0009198","쌍문동청한빌라","166","6","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000116","10201","0009201","쌍문동청한빌라","1","70","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000118","10203","0009259","쌍문동우이빌라","1","58","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000042","10127","0033042","우이1교앞","18","188","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000013","10013","0070685","도봉구민회관","324","190","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000015","10015","0070686","쌍문역","268","652","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000017","10017","0070687","우이1교앞","176","55","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","108000001","09001","0070688","수유3동우체국","218","178","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","108000003","09003","0070689","수유역","187","145","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","108000004","09004","0070707","수유역.강북구청","476","474","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000060","08150","0072434","종암경찰서","246","237","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000062","08152","0072435","종암동주민센터","316","159","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000064","08154","0072436","숭례초교","296","116","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000066","08156","0072437","고대앞","156","192","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000067","08157","0072438","우신향병원","212","157","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000068","08158","0072439","안암오거리","223","159","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000069","08159","0072440","대광초교","163","148","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","100000147","01243","0072441","신설동로터리","54","453","20190904",""
